,elementwise_accuracy,full_sequence_accuracy,teacher_forcing_accuracy,trial,noise level,model
117,0.285245,0.00475,0.478245,2,0.4693877551020408,Relational Abstractor
118,0.433045,0.04125,0.6399,3,0.4693877551020408,Relational Abstractor
119,0.36874,0.03645,0.616025,4,0.4693877551020408,Relational Abstractor
120,0.317425,0.0092,0.507165,0,0.4897959183673469,Relational Abstractor
121,0.301805,0.0108,0.52252,1,0.4897959183673469,Relational Abstractor
122,0.29427,0.00995,0.54574,2,0.4897959183673469,Relational Abstractor
123,0.34243,0.0149,0.52125,3,0.4897959183673469,Relational Abstractor
124,0.396125,0.04795,0.65037,4,0.4897959183673469,Relational Abstractor
125,0.284055,0.0113,0.52038,0,0.5102040816326531,Relational Abstractor
126,0.37854,0.0227,0.57327,1,0.5102040816326531,Relational Abstractor
127,0.252975,0.008,0.480945,2,0.5102040816326531,Relational Abstractor
128,0.32238,0.0235,0.564475,3,0.5102040816326531,Relational Abstractor
129,0.329155,0.01615,0.525905,4,0.5102040816326531,Relational Abstractor
130,0.31975,0.02085,0.54796,0,0.5306122448979591,Relational Abstractor
131,0.320975,0.02735,0.55547,1,0.5306122448979591,Relational Abstractor
132,0.233735,0.00195,0.419225,2,0.5306122448979591,Relational Abstractor
133,0.23593,0.00695,0.509895,3,0.5306122448979591,Relational Abstractor
134,0.334905,0.011,0.533275,4,0.5306122448979591,Relational Abstractor
135,0.315345,0.0084,0.51396,0,0.5510204081632653,Relational Abstractor
136,0.292485,0.0051,0.456545,1,0.5510204081632653,Relational Abstractor
137,0.263105,0.0077,0.525485,2,0.5510204081632653,Relational Abstractor
138,0.211295,0.00145,0.40653,3,0.5510204081632653,Relational Abstractor
139,0.278895,0.00435,0.487165,4,0.5510204081632653,Relational Abstractor
140,0.30636,0.00555,0.481595,0,0.5714285714285714,Relational Abstractor
141,0.266015,0.0052,0.47696,1,0.5714285714285714,Relational Abstractor
142,0.2007,0.00235,0.45904,2,0.5714285714285714,Relational Abstractor
143,0.30081,0.0063,0.48623,3,0.5714285714285714,Relational Abstractor
144,0.30577,0.0088,0.483635,4,0.5714285714285714,Relational Abstractor
145,0.295095,0.0079,0.49835,0,0.5918367346938775,Relational Abstractor
146,0.269,0.0065,0.508675,1,0.5918367346938775,Relational Abstractor
147,0.353515,0.0076,0.50718,2,0.5918367346938775,Relational Abstractor
148,0.249325,0.00135,0.41545,3,0.5918367346938775,Relational Abstractor
149,0.169275,0.00045,0.355325,4,0.5918367346938775,Relational Abstractor
150,0.241635,0.0024,0.4215,0,0.6122448979591836,Relational Abstractor
151,0.169795,0.0002,0.30512,1,0.6122448979591836,Relational Abstractor
152,0.272345,0.00305,0.446515,2,0.6122448979591836,Relational Abstractor
153,0.332645,0.0136,0.53182,3,0.6122448979591836,Relational Abstractor
154,0.309825,0.00845,0.491995,4,0.6122448979591836,Relational Abstractor
155,0.236555,0.0026,0.413215,0,0.6326530612244897,Relational Abstractor
