,elementwise_accuracy,full_sequence_accuracy,teacher_forcing_accuracy,trial,noise level,model
106,0.367145,0.03945,0.610815,1,0.42857142857142855,Relational Abstractor
107,0.374765,0.0408,0.626505,2,0.42857142857142855,Relational Abstractor
108,0.31687,0.02165,0.584505,3,0.42857142857142855,Relational Abstractor
109,0.329185,0.02735,0.59433,4,0.42857142857142855,Relational Abstractor
110,0.380135,0.02325,0.582075,0,0.44897959183673464,Relational Abstractor
111,0.3844,0.02535,0.590235,1,0.44897959183673464,Relational Abstractor
112,0.388585,0.04595,0.618225,2,0.44897959183673464,Relational Abstractor
113,0.385195,0.02645,0.60901,3,0.44897959183673464,Relational Abstractor
114,0.322235,0.0273,0.574405,4,0.44897959183673464,Relational Abstractor
115,0.38656,0.0347,0.60805,0,0.4693877551020408,Relational Abstractor
116,0.24737,0.0068,0.477445,1,0.4693877551020408,Relational Abstractor
117,0.404705,0.04035,0.61456,2,0.4693877551020408,Relational Abstractor
118,0.31704,0.01745,0.533345,3,0.4693877551020408,Relational Abstractor
119,0.448465,0.11945,0.70035,4,0.4693877551020408,Relational Abstractor
120,0.385075,0.05135,0.64762,0,0.4897959183673469,Relational Abstractor
121,0.384545,0.0224,0.580685,1,0.4897959183673469,Relational Abstractor
122,0.41667,0.06135,0.625175,2,0.4897959183673469,Relational Abstractor
123,0.383675,0.02295,0.557395,3,0.4897959183673469,Relational Abstractor
124,0.275275,0.00885,0.505745,4,0.4897959183673469,Relational Abstractor
125,0.30323,0.0093,0.50004,0,0.5102040816326531,Relational Abstractor
126,0.409475,0.027,0.60116,1,0.5102040816326531,Relational Abstractor
127,0.34168,0.0133,0.497775,2,0.5102040816326531,Relational Abstractor
128,0.299245,0.0071,0.48401,3,0.5102040816326531,Relational Abstractor
129,0.327245,0.0195,0.553335,4,0.5102040816326531,Relational Abstractor
130,0.48111,0.0811,0.730945,0,0.5306122448979591,Relational Abstractor
131,0.25104,0.00405,0.47033,1,0.5306122448979591,Relational Abstractor
132,0.286575,0.00515,0.45308,2,0.5306122448979591,Relational Abstractor
133,0.24976,0.0037,0.42824,3,0.5306122448979591,Relational Abstractor
134,0.34483,0.0066,0.52096,4,0.5306122448979591,Relational Abstractor
135,0.285285,0.0097,0.50066,0,0.5510204081632653,Relational Abstractor
136,0.25478,0.0032,0.441695,1,0.5510204081632653,Relational Abstractor
137,0.30039,0.0109,0.5273,2,0.5510204081632653,Relational Abstractor
138,0.294275,0.01195,0.50765,3,0.5510204081632653,Relational Abstractor
139,0.40678,0.04495,0.593845,4,0.5510204081632653,Relational Abstractor
140,0.213895,0.00515,0.478815,0,0.5714285714285714,Relational Abstractor
141,0.249285,0.00445,0.447855,1,0.5714285714285714,Relational Abstractor
142,0.267705,0.0031,0.4354,2,0.5714285714285714,Relational Abstractor
143,0.26875,0.0025,0.470365,3,0.5714285714285714,Relational Abstractor
144,0.286405,0.0063,0.48444,4,0.5714285714285714,Relational Abstractor
145,0.23187,0.00415,0.441345,0,0.5918367346938775,Relational Abstractor
146,0.323845,0.0087,0.514475,1,0.5918367346938775,Relational Abstractor
147,0.2522,0.0024,0.42865,2,0.5918367346938775,Relational Abstractor
148,0.21258,0.0007,0.3739,3,0.5918367346938775,Relational Abstractor
149,0.23285,0.0014,0.393835,4,0.5918367346938775,Relational Abstractor
150,0.241225,0.0025,0.413335,0,0.6122448979591836,Relational Abstractor
151,0.371995,0.02565,0.60345,1,0.6122448979591836,Relational Abstractor
152,0.269735,0.00635,0.45154,2,0.6122448979591836,Relational Abstractor
153,0.276595,0.0052,0.462335,3,0.6122448979591836,Relational Abstractor
