,loss,binary_accuracy,group,train_size,trial
18,0.7187948226928711,0.47946175932884216,corelnet,100,8
19,0.6942925453186035,0.5205382704734802,corelnet,100,9
20,0.6924828886985779,0.519830048084259,corelnet,200,0
21,0.6936710476875305,0.5205382704734802,corelnet,200,1
22,0.6920841932296753,0.5212464332580566,corelnet,200,2
23,0.6951576471328735,0.5205382704734802,corelnet,200,3
24,0.7009737491607666,0.47946175932884216,corelnet,200,4
25,0.6928940415382385,0.519830048084259,corelnet,200,5
26,0.7066982984542847,0.47946175932884216,corelnet,200,6
27,0.7032106518745422,0.47946175932884216,corelnet,200,7
28,0.7288303375244141,0.47946175932884216,corelnet,200,8
29,0.6950117945671082,0.5205382704734802,corelnet,200,9
30,0.6923000812530518,0.5205382704734802,corelnet,500,0
31,0.6925091743469238,0.5205382704734802,corelnet,500,1
32,0.6994950771331787,0.47946175932884216,corelnet,500,2
33,0.6927670240402222,0.5205382704734802,corelnet,500,3
34,0.6963173151016235,0.47946175932884216,corelnet,500,4
35,0.7050842642784119,0.47946175932884216,corelnet,500,5
36,0.6994704604148865,0.47946175932884216,corelnet,500,6
37,0.6986573338508606,0.48016998171806335,corelnet,500,7
38,0.6940840482711792,0.5212464332580566,corelnet,500,8
39,0.6933614611625671,0.477337121963501,corelnet,500,9
40,0.6926038265228271,0.5205382704734802,corelnet,1000,0
41,0.6931881904602051,0.5205382704734802,corelnet,1000,1
42,0.6816751956939697,0.5106232166290283,corelnet,1000,2
43,0.6855698227882385,0.5382436513900757,corelnet,1000,3
44,0.6939388513565063,0.47946175932884216,corelnet,1000,4
45,0.6922247409820557,0.5205382704734802,corelnet,1000,5
46,0.6921892762184143,0.5205382704734802,corelnet,1000,6
47,0.6951932907104492,0.519830048084259,corelnet,1000,7
48,0.6981387138366699,0.47946175932884216,corelnet,1000,8
